date,open,high,low,close,volume
2024-01-02T16:37:00Z,187.1,187.35,187.1,187.345,144639
2024-01-02T16:38:00Z,187.345,187.3499,187.19,187.215,125356
2024-01-02T16:39:00Z,187.2119,187.2119,187.05,187.06,179834
2024-01-02T16:40:00Z,187.07,187.07,186.92,186.96,132116
2024-01-02T16:41:00Z,186.955,187.07,186.95,187.0336,83430
2024-01-02T16:42:00Z,187.02,187.03,186.89,186.905,86523
2024-01-02T16:43:00Z,186.9,186.93,186.85,186.92,118283
2024-01-02T16:44:00Z,186.91,186.96,186.86,186.96,81511
2024-01-02T16:45:00Z,186.96,187.1,186.95,187.06,124696
2024-01-02T16:46:00Z,187.07,187.15,187,187.1,122606
2024-01-02T16:47:00Z,187.1,187.12,187.035,187.105,53770
2024-01-02T16:48:00Z,187.105,187.155,187,187.0125,100508
2024-01-02T16:49:00Z,187.01,187.06,186.99,187.0388,78319
2024-01-02T16:50:00Z,187.0264,187.07,186.92,186.93,113155
2024-01-02T16:51:00Z,186.935,186.985,186.93,186.94,63984
2024-01-02T16:52:00Z,186.935,186.96,186.83,186.83,137746
2024-01-02T16:53:00Z,186.82,186.9483,186.82,186.915,95134
2024-01-02T16:54:00Z,186.925,186.93,186.7,186.715,119257
2024-01-02T16:55:00Z,186.72,186.75,186.65,186.71,122507
2024-01-02T16:56:00Z,186.72,186.86,186.715,186.8301,89396
2024-01-02T16:57:00Z,186.83,186.9,186.81,186.8864,75647
2024-01-02T16:58:00Z,186.89,186.92,186.8,186.8,65732
2024-01-02T16:59:00Z,186.795,186.81,186.6817,186.7443,83756
2024-01-02T17:00:00Z,186.75,186.91,186.745,186.89,108455
2024-01-02T17:01:00Z,186.88,186.96,186.8533,186.92,74870
2024-01-02T17:02:00Z,186.91,186.91,186.85,186.875,83663
2024-01-02T17:03:00Z,186.87,186.8967,186.8287,186.885,68573
2024-01-02T17:04:00Z,186.8846,186.94,186.83,186.8386,97116
2024-01-02T17:05:00Z,186.84,186.86,186.77,186.785,83630
2024-01-02T17:06:00Z,186.7801,186.82,186.6701,186.7,100453
2024-01-02T17:07:00Z,186.7,186.83,186.7,186.83,106164
2024-01-02T17:08:00Z,186.825,186.93,186.825,186.91,74767
2024-01-02T17:09:00Z,186.9,186.9,186.785,186.85,82501
2024-01-02T17:10:00Z,186.84,186.88,186.7607,186.79,84580
2024-01-02T17:11:00Z,186.7985,186.8186,186.72,186.805,97266
2024-01-02T17:12:00Z,186.805,186.82,186.67,186.67,87301
2024-01-02T17:13:00Z,186.67,186.75,186.6601,186.7384,119415
2024-01-02T17:14:00Z,186.735,186.81,186.71,186.7941,112101
2024-01-02T17:15:00Z,186.79,186.8,186.72,186.775,84548
2024-01-02T17:16:00Z,186.78,186.79,186.68,186.7317,108466
2024-01-02T17:17:00Z,186.73,186.74,186.59,186.62,210842
2024-01-02T17:18:00Z,186.62,186.6453,186.57,186.6221,73562
2024-01-02T17:19:00Z,186.62,186.68,186.6,186.6401,94375
2024-01-02T17:20:00Z,186.6414,186.78,186.63,186.7,112137
2024-01-02T17:21:00Z,186.6975,186.87,186.6975,186.765,118983
2024-01-02T17:22:00Z,186.78,186.83,186.7621,186.83,84252
2024-01-02T17:23:00Z,186.82,186.85,186.751,186.815,93770
2024-01-02T17:24:00Z,186.8189,186.88,186.74,186.875,76543
2024-01-02T17:25:00Z,186.87,186.905,186.82,186.89,109875
2024-01-02T17:26:00Z,186.895,186.92,186.79,186.7976,82541
2024-01-02T17:27:00Z,186.79,186.88,186.75,186.874,92500
2024-01-02T17:28:00Z,186.8702,186.89,186.77,186.78,104311
2024-01-02T17:29:00Z,186.7838,186.805,186.61,186.615,112913
2024-01-02T17:30:00Z,186.615,186.67,186.53,186.54,87758
2024-01-02T17:31:00Z,186.54,186.715,186.5302,186.63,92924
2024-01-02T17:32:00Z,186.625,186.66,186.59,186.64,67823
2024-01-02T17:33:00Z,186.6485,186.66,186.5803,186.59,71299
2024-01-02T17:34:00Z,186.59,186.75,186.59,186.75,119664
2024-01-02T17:35:00Z,186.75,186.81,186.724,186.81,84232
2024-01-02T17:36:00Z,186.805,186.86,186.775,186.8045,116716
2024-01-02T17:37:00Z,186.8099,186.82,186.73,186.78,41339
2024-01-02T17:38:00Z,186.78,186.92,186.7639,186.9103,106783
2024-01-02T17:39:00Z,186.91,186.92,186.79,186.9072,108382
2024-01-02T17:40:00Z,186.91,186.9815,186.9,186.9441,135566
2024-01-02T17:41:00Z,186.945,187.04,186.9,186.98,118832
2024-01-02T17:42:00Z,186.9891,186.99,186.89,186.895,78131
2024-01-02T17:43:00Z,186.9,186.9,186.82,186.89,63168
2024-01-02T17:44:00Z,186.8899,186.93,186.87,186.88,49254
2024-01-02T17:45:00Z,186.87,186.89,186.72,186.7225,120507
2024-01-02T17:46:00Z,186.7299,186.74,186.555,186.56,85501
2024-01-02T17:47:00Z,186.56,186.57,186.43,186.44,124195
2024-01-02T17:48:00Z,186.44,186.4599,186.175,186.18,172658
2024-01-02T17:49:00Z,186.18,186.25,186.139,186.175,99503
2024-01-02T17:50:00Z,186.175,186.19,186.025,186.07,138041
2024-01-02T17:51:00Z,186.09,186.119,186.0101,186.0849,124972
2024-01-02T17:52:00Z,186.09,186.1,186.04,186.0601,61602
2024-01-02T17:53:00Z,186.07,186.0999,185.99,185.9929,135552
2024-01-02T17:54:00Z,185.995,186.08,185.985,186.025,77591
2024-01-02T17:55:00Z,186.03,186.11,185.93,185.96,128766
2024-01-02T17:56:00Z,185.965,186.02,185.905,185.98,80159
2024-01-02T17:57:00Z,185.975,186,185.94,185.9775,57773
2024-01-02T17:58:00Z,185.98,186,185.8401,185.8459,76911
2024-01-02T17:59:00Z,185.85,185.9099,185.845,185.878,68893
