"date","open","high","low","close","volume"
"2026-04-12T23:00:00Z","677.4","686.3","676.58","686.1","36496305"
"2026-04-13T23:00:00Z","687.69","694.58","687.66","694.46","43054226"
"2026-04-14T23:00:00Z","695.26","700.28","694.2","699.94","42557705"
"2026-04-15T23:00:00Z","701.06","702.78","698.53","701.66","34037424"
"2026-04-16T23:00:00Z","706.14","712.39","705.76","710.14","43085913"
"2026-04-19T23:00:00Z","708.79","709.91","706.14","708.72","27361348"
"2026-04-20T23:00:00Z","710.28","711.28","702.64","704.08","43467644"
"2026-04-21T23:00:00Z","709.19","711.45","708.22","711.21","28181451"
"2026-04-22T23:00:00Z","709.5","712.36","702.28","708.45","42958064"
"2026-04-23T23:00:00Z","710.75","714.47","709.01","713.94","29350408"
"2026-04-26T23:00:00Z","713.18","715.63","712.29","715.17","24071337"
"2026-04-27T23:00:00Z","711.82","712.88","709.25","711.69","26375555"
"2026-04-28T23:00:00Z","711.0","712.2","708.37","711.58","28880531"
"2026-04-29T23:00:00Z","714.73","719.79","710.44","718.66","38106419"
"2026-04-30T23:00:00Z","721.25","724.87","720.47","720.65","30371390"
"2026-05-03T23:00:00Z","720.07","722.12","714.99","718.01","37839280"
"2026-05-04T23:00:00Z","721.77","725.04","721.48","723.77","25041685"
"2026-05-05T23:00:00Z","728.16","734.59","727.82","733.83","31959307"
"2026-05-06T23:00:00Z","735.05","736.13","729.75","731.58","35831850"
"2026-05-07T23:00:00Z","734.94","738.02","734.57","737.62","30283957"
"2026-05-10T23:00:00Z","736.46","740.79","736.45","739.3","34556739"
"2026-05-11T23:00:00Z","736.91","738.84","731.83","738.18","36903839"
"2026-05-12T23:00:00Z","738.46","743.91","735.47","742.31","29763736"
"2026-05-13T23:00:00Z","743.62","749.53","743.56","748.17","28926251"
"2026-05-14T23:00:00Z","741.8","743.46","737.96","739.17","33195778"
"2026-05-17T23:00:00Z","739.82","741.42","733.39","738.65","33130849"
"2026-05-18T23:00:00Z","734.75","737.65","731.53","733.73","36132671"
"2026-05-19T23:00:00Z","735.7","741.87","733.89","741.25","32364561"
"2026-05-20T23:00:00Z","738.67","744.87","737.03","742.72","33746666"
"2026-05-21T23:00:00Z","746.21","748.94","744.48","745.64","23966466"
"2026-05-25T23:00:00Z","750.01","752.13","748.37","750.59","27780718"
"2026-05-26T23:00:00Z","750.9","751.38","748.22","750.46","26608447"
"2026-05-27T23:00:00Z","750.22","755.15","749.23","754.6","25713771"
"2026-05-28T23:00:00Z","755.9","758.08","754.69","756.48","33981149"
"2026-05-31T23:00:00Z","755.32","760.27","754.69","758.54","29735751"
"2026-06-01T23:00:00Z","757.0","760.4","756.75","759.57","22214259"
"2026-06-02T23:00:00Z","758.14","758.8","753.57","754.24","31737825"
"2026-06-03T23:00:00Z","752.11","758.31","751.47","757.09","30897616"
"2026-06-04T23:00:00Z","752.31","752.82","735.52","737.55","59069423"
"2026-06-07T23:00:00Z","743.31","745.34","738.19","739.22","33052894"
"2026-06-08T23:00:00Z","743.63","746.9","722.59","737.05","64205290"
"2026-06-09T23:00:00Z","733.4","738.38","725.33","725.43","39313992"
"2026-06-10T23:00:00Z","728.82","730.18","726.35","730.14","4402140"
