"date","open","high","low","close","volume"
"2026-06-10T13:37:00Z","733.8","734.48","733.73","734.47","104241"
"2026-06-10T13:38:00Z","734.45","735.25","734.41","734.96","151289"
"2026-06-10T13:39:00Z","734.93","734.94","734.28","734.6","118543"
"2026-06-10T13:40:00Z","734.59","734.63","734.07","734.48","99947"
"2026-06-10T13:41:00Z","734.47","734.72","733.28","733.54","123744"
"2026-06-10T13:42:00Z","733.55","734.85","733.49","734.78","84365"
"2026-06-10T13:43:00Z","734.77","736.0","734.6","735.81","126655"
"2026-06-10T13:44:00Z","735.81","736.25","735.52","736.17","172077"
"2026-06-10T13:45:00Z","736.17","736.32","735.33","736.15","202925"
"2026-06-10T13:46:00Z","736.15","736.21","735.51","735.58","93855"
"2026-06-10T13:47:00Z","735.61","736.1","735.43","735.96","115294"
"2026-06-10T13:48:00Z","735.98","736.85","735.98","736.77","211160"
"2026-06-10T13:49:00Z","736.76","736.98","736.21","736.66","159720"
"2026-06-10T13:50:00Z","736.67","736.67","735.32","735.41","149324"
"2026-06-10T13:51:00Z","735.39","735.73","734.74","734.88","129208"
"2026-06-10T13:52:00Z","734.87","735.47","734.87","735.15","84846"
"2026-06-10T13:53:00Z","735.15","735.57","734.95","734.96","97456"
"2026-06-10T13:54:00Z","734.97","735.85","734.92","735.66","75890"
"2026-06-10T13:55:00Z","735.67","735.99","735.28","735.86","65343"
"2026-06-10T13:56:00Z","735.87","736.54","735.84","736.28","79206"
"2026-06-10T13:57:00Z","736.25","736.69","736.16","736.39","91006"
"2026-06-10T13:58:00Z","736.38","736.56","735.76","736.02","129233"
"2026-06-10T13:59:00Z","736.02","736.2","735.48","735.72","82930"
"2026-06-10T14:00:00Z","735.75","736.05","735.2","735.41","56653"
"2026-06-10T14:01:00Z","735.42","735.91","735.01","735.59","72549"
"2026-06-10T14:02:00Z","735.58","736.47","735.32","736.31","82000"
"2026-06-10T14:03:00Z","736.31","737.28","736.2","736.76","114434"
"2026-06-10T14:04:00Z","736.72","736.74","736.26","736.57","87736"
"2026-06-10T14:05:00Z","736.56","736.59","735.88","736.03","94279"
"2026-06-10T14:06:00Z","736.08","736.9","736.04","736.82","64376"
"2026-06-10T14:07:00Z","736.83","736.85","736.43","736.53","87818"
"2026-06-10T14:08:00Z","736.56","736.88","736.4","736.86","52686"
"2026-06-10T14:09:00Z","736.85","737.36","736.69","737.13","75518"
"2026-06-10T14:10:00Z","737.16","737.3","736.48","736.59","58975"
"2026-06-10T14:11:00Z","736.59","737.26","736.5","737.18","69903"
"2026-06-10T14:12:00Z","737.18","737.51","737.11","737.19","107480"
"2026-06-10T14:13:00Z","737.23","737.59","736.59","737.48","125800"
"2026-06-10T14:14:00Z","737.46","737.6","736.6","736.7","99746"
"2026-06-10T14:15:00Z","736.7","736.78","735.8","735.85","101398"
"2026-06-10T14:16:00Z","735.83","737.09","735.78","737.01","145591"
"2026-06-10T14:17:00Z","737.0","737.0","736.36","736.47","148919"
"2026-06-10T14:18:00Z","736.45","736.57","736.22","736.36","74490"
"2026-06-10T14:19:00Z","736.35","736.69","736.05","736.61","65144"
"2026-06-10T14:20:00Z","736.49","736.86","736.34","736.35","39757"
"2026-06-10T14:21:00Z","736.35","736.85","736.2","736.82","120740"
"2026-06-10T14:22:00Z","736.83","737.24","736.68","736.99","35666"
"2026-06-10T14:23:00Z","737.05","737.82","736.91","737.74","113347"
"2026-06-10T14:24:00Z","737.72","738.38","737.68","738.22","300761"
"2026-06-10T14:25:00Z","738.22","738.38","737.26","737.36","105682"
"2026-06-10T14:26:00Z","737.35","737.66","737.31","737.41","78484"
"2026-06-10T14:27:00Z","737.42","737.93","737.39","737.91","64819"
"2026-06-10T14:28:00Z","737.9","737.91","736.62","736.76","92559"
"2026-06-10T14:29:00Z","736.77","737.33","736.72","737.25","110884"
"2026-06-10T14:30:00Z","737.22","737.36","736.92","736.96","68739"
"2026-06-10T14:31:00Z","736.98","736.98","735.78","735.89","164873"
"2026-06-10T14:32:00Z","735.88","736.64","735.79","736.64","141444"
"2026-06-10T14:33:00Z","736.61","737.22","736.28","737.1","78735"
"2026-06-10T14:34:00Z","737.04","737.87","737.01","737.84","123203"
